cliente_id,nombre,edad,genero,distrito,email,fecha_registro,nivel_membresia
C0001,Amílcar Jerónimo Agudo Godoy,16,M,Comas,edgardo84@zaragoza.net,2022-10-09,Silver
C0002,León Sans Oller,20,M,Comas,aitanalujan@hotmail.com,2022-04-15,Básico
C0003,Ángela Menéndez Daza,17,F,Miraflores,jose96@bejarano.com,2022-04-06,Silver
C0004,Leonardo Cabello Aguiló,32,M,San Borja,mleon@gmail.com,2022-01-28,Silver
C0005,Adelaida Luz Checa Roca,23,F,SJL,guillermocosta@calderon-llano.es,2023-08-27,Gold
C0006,Iker Castro Baeza,21,M,Comas,amoliner@gmail.com,2023-03-09,Gold
C0007,Sara Villegas-Gallart,20,F,San Isidro,smanzanares@andreu.es,2024-02-21,Gold
C0008,Juan Tenorio Vergara,18,M,Breña,vnavarrete@yahoo.com,2022-04-10,Gold
C0009,Itziar Arranz Muñoz,35,F,La Molina,julianagirona@solera.com,2024-04-06,Básico
C0010,Begoña Barberá Sainz,33,F,Surco,valencianowilfredo@pozo.com,2023-01-23,Básico
C0011,Asunción Catalán Sedano,35,F,San Miguel,csalinas@patino.org,2024-06-01,Gold
C0012,Juan Antonio Beltran Andrade,18,M,Miraflores,feliciana89@baro-novoa.es,2023-11-09,Silver
C0013,Edelmira Barba-Catalá,18,F,Surquillo,alejandraaranda@ramos.net,2022-08-27,Básico
C0014,Alejandra Huerta Iriarte,24,F,SJL,bernatroberto@yahoo.com,2023-10-13,Gold
C0015,Toño Roda Carranza,27,M,Jesús María,ferrerasgoyo@baquero-cueto.es,2022-08-03,Gold
C0016,Carlos de Galvez,35,M,Callao,godofredoenriquez@torralba.es,2022-06-25,Silver
C0017,Abraham Luque-Hernando,30,M,Breña,vilaplanagustavo@gmail.com,2022-10-04,Silver
C0018,María Manuela Cabezas Mármol,17,F,San Isidro,fuertesjordana@falco-garriga.com,2024-04-21,Básico
C0019,Fanny Rueda Coll,28,F,La Molina,pombotoribio@barbera.org,2022-03-09,Silver
C0020,Reyna Carrasco,22,F,Callao,edgarplanas@alcaraz-ojeda.org,2023-05-27,Platinum
C0021,Constanza Leiva Figueras,20,F,La Molina,cuencanoemi@hotmail.com,2022-05-23,Silver
C0022,Dulce Palomo Bolaños,34,F,Breña,pablopriego@yahoo.com,2023-08-21,Platinum
C0023,Paca Gálvez Valcárcel,23,F,Los Olivos,yago87@pinedo-cerro.net,2023-06-06,Platinum
C0024,Onofre Marti-Vidal,17,M,Surquillo,buendiadebora@gmail.com,2022-04-23,Silver
C0025,Rodrigo Juan Morante,29,M,San Borja,kcortes@egea-boada.org,2022-03-07,Platinum
C0026,Encarna Sara Villena Vallés,35,F,SJL,vergararodolfo@samper.com,2023-06-26,Gold
C0027,Manolo Diaz,19,M,Callao,eligiacabeza@sureda-rosello.org,2023-07-04,Gold
C0028,Mariana del Briones,19,F,La Molina,ascensionsalcedo@hotmail.com,2023-03-22,Silver
C0029,Áurea Gertrudis Ferreras Falcón,16,F,Comas,fdalmau@hotmail.com,2024-06-15,Gold
C0030,Demetrio Borja Salinas,32,M,San Miguel,mateuanselmo@coca.com,2022-04-19,Gold
C0031,Esteban del Colomer,20,M,Jesús María,santiagomanuel@oliver.net,2024-02-20,Silver
C0032,Armando Cerro Robles,35,M,Jesús María,trius@gmail.com,2023-05-16,Básico
C0033,Goyo Cuenca,27,M,San Miguel,jordidalmau@yahoo.com,2024-05-01,Gold
C0034,Lupe Soler,17,M,San Isidro,pcarballo@sanz.es,2024-06-18,Básico
C0035,Adán de Álvarez,31,M,Surquillo,casalazahar@yahoo.com,2022-03-12,Silver
C0036,Silvio Gerónimo Roca Prats,31,M,Lince,primitivo73@gmail.com,2022-06-19,Gold
C0037,Carmelita Díez Llano,22,F,San Miguel,torrefulgencio@gmail.com,2023-07-07,Silver
C0038,Jovita Amor,28,F,Callao,epifaniopardo@checa-mendizabal.org,2023-10-28,Gold
C0039,Celestina Amor Cárdenas,32,F,SJL,martirio72@murcia-goni.com,2022-05-04,Silver
C0040,Albano Herranz Farré,18,M,Jesús María,tejeraisaias@mendez.net,2022-01-22,Silver
C0041,Aurelio Canet Dávila,16,M,Surco,julieta10@gmail.com,2023-12-26,Básico
C0042,Javi Tormo Tur,18,M,San Miguel,nramis@carballo.com,2022-02-02,Gold
C0043,Porfirio Espada Cruz,32,M,San Isidro,fabricio06@gmail.com,2022-10-13,Platinum
C0044,Danilo Pinedo Arteaga,33,M,Los Olivos,maria-teresacarbo@heredia.es,2024-01-11,Platinum
C0045,Abraham del Hidalgo,31,M,Pueblo Libre,nrueda@yahoo.com,2023-02-21,Silver
C0046,Ruy Tovar Tapia,19,M,Callao,florindayanez@yahoo.com,2023-03-18,Gold
C0047,Rufina Caridad Vélez Nuñez,29,F,SJL,juan-bautistaamigo@uriarte-tellez.com,2024-06-03,Básico
C0048,Hugo Chamorro-Peláez,17,M,Breña,dbarral@yahoo.com,2024-01-16,Gold
