event_id,venta_id,cliente_nombre,plataforma,metodo_pago,total,riesgo_fraude,event_timestamp,batch_id
EVT-000201,V16958,Serafina Sevilla,PC,Efectivo,219.9,0.95,2026-05-11 23:19:09,8
EVT-000240,V38529,Flora Ballester Paz,Switch,Tarjeta Débito,249.9,0.95,2026-05-11 23:19:13,8
EVT-000058,V40607,Edelmira Ramón Miguel,PS5,Plin,219.9,0.95,2026-05-11 23:19:37,8
EVT-000062,V23435,Adela Lucas Recio,PS5,Tarjeta Débito,249.9,0.95,2026-05-11 23:19:37,8
EVT-000663,V19060,Caridad Tamarit-Serra,PC,Plin,379.8,0.95,2026-05-11 23:19:56,8
EVT-000771,V31694,Isaac Díaz-Román,Xbox,Tarjeta Débito,439.8,0.95,2026-05-11 23:20:07,8
EVT-000804,V41268,Ligia del Pont,PS5,Tarjeta Débito,219.9,0.95,2026-05-11 23:20:10,8
EVT-001069,V17764,Paca Gálvez Valcárcel,PS5,Efectivo,219.9,0.95,2026-05-11 23:20:37,8
EVT-001110,V08711,Andrés Felipe Guardia Almansa,PS5,Yape,249.9,0.95,2026-05-11 23:20:41,8
EVT-001243,V30424,Ainara de Álvaro,Xbox,Efectivo,439.8,0.95,2026-05-11 23:20:54,8
EVT-000126,V27573,Manolo Diaz,PC,Tarjeta Débito,659.7,0.95,2026-05-11 23:52:31,8
EVT-000193,V04463,Camilo Báez,PS5,Yape,219.9,0.95,2026-05-11 23:52:38,8
EVT-000282,V31029,Eufemia Abril Canals,PS5,Tarjeta Débito,809.7,0.95,2026-05-11 23:52:47,8
EVT-000462,V13886,Edelmiro Espada Vara,PC,Efectivo,439.8,0.95,2026-05-11 23:53:05,8
EVT-000608,V37362,Alondra Almazán Yuste,PC,Efectivo,499.8,0.95,2026-05-11 23:53:20,8
EVT-000681,V26041,Fulgencio Aristides Sacristán Estevez,PS5,Plin,179.9,0.95,2026-05-11 23:53:28,8
EVT-001326,V28727,Artemio Narváez Morell,PS5,Plin,439.8,0.95,2026-05-11 23:54:36,8
EVT-001482,V41614,Dolores de Querol,Switch,Plin,839.7,0.95,2026-05-11 23:54:52,8
EVT-000023,V41755,Emelina Olivares Díaz,PC,Plin,499.8,0.95,2026-05-11 23:55:16,8
EVT-000337,V38587,Dan de Riera,Switch,Efectivo,199.9,0.95,2026-05-11 23:55:49,8
EVT-000406,V16692,Rebeca Coello Reguera,PS5,Yape,289.9,0.95,2026-05-11 23:55:56,8
EVT-000460,V38805,Geraldo Gomez,PS5,Plin,299.9,0.95,2026-05-11 23:56:01,8
EVT-000568,V34734,Marcelino Toro-Arribas,Switch,Tarjeta Débito,279.9,0.95,2026-05-11 23:56:13,8
EVT-000746,V47338,Carmen Benitez Company,Xbox,Plin,499.8,0.95,2026-05-11 23:56:31,8
EVT-000748,V24342,Gracia de Parejo,PS5,Tarjeta Crédito,439.8,0.95,2026-05-11 23:56:31,8
EVT-000918,V29083,Edelmiro Espada Vara,PS5,Tarjeta Crédito,269.9,0.95,2026-05-11 23:56:48,8
EVT-000954,V15656,Verónica Atienza Barrena,PS4,Tarjeta Débito,269.9,0.95,2026-05-11 23:56:52,8
EVT-001049,V45717,Manola Cortina Castilla,PS4,Yape,189.9,0.95,2026-05-11 23:57:02,8
EVT-001066,V11896,Inmaculada Tejedor-Cerdá,Xbox,Efectivo,219.9,0.95,2026-05-11 23:57:03,8
EVT-001296,V06982,Elvira del Huguet,PC,Plin,179.9,0.95,2026-05-11 23:57:27,8
EVT-000070,V13074,Encarna Sara Villena Vallés,PS5,Tarjeta Débito,289.9,0.95,2026-05-12 00:03:05,8
EVT-000245,V11523,Ruperto Hervia Cardona,PC,Tarjeta Crédito,359.8,0.95,2026-05-12 00:03:38,8
EVT-000350,V17274,Baldomero Esteve Torralba,PS5,Efectivo,659.7,0.95,2026-05-12 00:03:52,8
