message_key,kafka_timestamp,event_id,event_type,event_timestamp,venta_id,cliente_id,juego_id,plataforma,metodo_pago,vendedor,precio,cantidad,total,cliente_nombre,nivel_membresia,distrito,riesgo_fraude,venta_riesgosa,processing_timestamp,batch_id
V00760,2026-05-12 00:51:45.045,EVT-001144,envio_preparado,2026-05-12 00:51:45,V00760,C0250,JV007,Xbox,Plin,María,249.9,2,499.8,Áurea Arjona Santos,Silver,Comas,0.36,False,2026-05-12 00:51:51.125,19
V41747,2026-05-12 00:51:45.148,EVT-001145,venta_cancelada,2026-05-12 00:51:45,V41747,C0291,JV018,Xbox,Efectivo,Ana,129.9,1,129.9,Máxima Sanz Durán,Gold,SJL,0.05,False,2026-05-12 00:51:51.125,19
V16977,2026-05-12 00:51:45.260,EVT-001146,envio_preparado,2026-05-12 00:51:45,V16977,C0136,JV013,PS5,Yape,Ana,269.9,3,809.7,Geraldo Rius Francisco,Básico,Surco,0.15,False,2026-05-12 00:51:51.125,19
V36520,2026-05-12 00:51:45.368,EVT-001147,venta_completada,2026-05-12 00:51:45,V36520,C0201,JV015,PC,Efectivo,José,239.9,1,239.9,Iris Campoy Berrocal,Básico,La Molina,0.94,True,2026-05-12 00:51:51.125,19
V25416,2026-05-12 00:51:45.506,EVT-001148,venta_creada,2026-05-12 00:51:45,V25416,C0114,JV019,Switch,Tarjeta Débito,María,249.9,2,499.8,Pilar Quevedo Moliner,Básico,La Molina,0.55,False,2026-05-12 00:51:51.125,19
V02810,2026-05-12 00:51:45.653,EVT-001149,envio_preparado,2026-05-12 00:51:45,V02810,C0022,JV016,PS5,Yape,Luis,289.9,1,289.9,Dulce Palomo Bolaños,Platinum,Breña,0.72,False,2026-05-12 00:51:51.125,19
V27829,2026-05-12 00:51:45.754,EVT-001150,pago_aprobado,2026-05-12 00:51:45,V27829,C0243,JV013,PS5,Yape,José,269.9,3,809.7,Edelmiro Espada Vara,Gold,SJL,0.91,True,2026-05-12 00:51:51.125,19
V28379,2026-05-12 00:51:45.861,EVT-001151,venta_creada,2026-05-12 00:51:45,V28379,C0268,JV017,PS5,Tarjeta Crédito,José,219.9,3,659.7,Ruben Ayala,Gold,Los Olivos,0.9,True,2026-05-12 00:51:51.125,19
V12130,2026-05-12 00:51:46.274,EVT-001152,venta_creada,2026-05-12 00:51:46,V12130,C0220,JV009,Switch,Plin,José,199.9,1,199.9,Paulina Sarabia,Silver,Callao,0.41,False,2026-05-12 00:51:51.125,19
V06007,2026-05-12 00:51:46.431,EVT-001153,venta_completada,2026-05-12 00:51:46,V06007,C0184,JV018,Switch,Plin,María,129.9,1,129.9,Melania Mas,Platinum,San Borja,0.02,False,2026-05-12 00:51:51.125,19
V29114,2026-05-12 00:51:46.591,EVT-001154,venta_confirmada,2026-05-12 00:51:46,V29114,C0047,JV002,PS5,Tarjeta Débito,José,249.9,1,249.9,Rufina Caridad Vélez Nuñez,Básico,SJL,0.89,True,2026-05-12 00:51:51.125,19
V46602,2026-05-12 00:51:46.702,EVT-001155,venta_completada,2026-05-12 00:51:46,V46602,C0076,JV001,PS5,Plin,José,299.9,2,599.8,Antonia Coloma Peral,Platinum,Comas,0.73,False,2026-05-12 00:51:51.125,19
V48406,2026-05-12 00:51:46.805,EVT-001156,venta_creada,2026-05-12 00:51:46,V48406,C0317,JV004,Switch,Tarjeta Crédito,José,279.9,1,279.9,Bienvenida Ribes Casado,Básico,San Borja,0.87,True,2026-05-12 00:51:51.125,19
V48202,2026-05-12 00:51:46.843,EVT-001157,envio_preparado,2026-05-12 00:51:46,V48202,C0389,JV001,PS5,Yape,María,299.9,1,299.9,Camilo Báez,Básico,Callao,0.9,True,2026-05-12 00:51:51.125,19
V42486,2026-05-12 00:51:46.947,EVT-001158,pago_aprobado,2026-05-12 00:51:46,V42486,C0304,JV012,PC,Efectivo,María,189.9,3,569.7,Ovidio Alba Llobet,Silver,Surquillo,0.79,True,2026-05-12 00:51:51.125,19
V24076,2026-05-12 00:51:47.095,EVT-001159,venta_creada,2026-05-12 00:51:47,V24076,C0296,JV003,Switch,Tarjeta Débito,José,229.9,1,229.9,María Del Carmen Giménez Atienza,Básico,Jesús María,0.62,False,2026-05-12 00:51:51.125,19
